七台河,Qitaihe
万宁,Wanning
万州,Wanzhou
三亚,Sanya
三明,Sanming
三沙,Sansha
三门峡,Sanmenxia
上饶,Shangrao
东丽,Dongli
东城,Dongcheng
东方,Dongfang
东莞,Dongguan
东营,Dongying
中卫,Zhongwei
中山,Zhongshan
丰台,Fengtai
丰都,Fengdu
临夏,Linxia
临汾,Linfen
临沂,Linyi
临沧,Lincang
临高,Lingao
丹东,Dandong
丽水,Lishui
丽江,Lijiang
乌兰察布,Ulanqab
乌海,Wuhai
乌鲁木齐,Urumqi
乐东,Ledong
乐山,Leshan
九江,Jiujiang
九龙坡,Jioulongpo
云浮,Yunfu
云阳,Yunyang
五指山,Wuzhishan
亳州,Bozhou
仙桃,Xiantao
伊春,Yichun
伊犁,Ili Kazak
佛山,Foshan
佳木斯,Kiamusze
保亭,Baoting
保定,Baoding
保山,Baoshan
信阳,Xinyang
儋州,Danzhou
克州,Kizilsu Kirghiz
克拉玛依,Karamay
公主岭,Gongzhuling
六安,Lu'an
六盘水,Liupanshui
兰州,Lanchow
兴安盟,Hinggan League
内江,Neijiang
凉山,Liangshan
包头,Baotou
北海,Beihai
北碚,Beibei
北辰,Beichen
十堰,Shiyan
南京,Nanjing
南充,Nanchong
南宁,Nanning
南岸,Nanan
南川,Nanchuan
南平,Nanping
南开,Nankai
南昌,Nanchang
南通,Nantong
南阳,Nanyang
博州,Bortala
厦门,Xiamen
双鸭山,Shuangyashan
台州,Taizhou
合川,Hechuan
合肥,Hefei
吉安,Ji'an
吉林,Jilin
吐鲁番,Turpan
吕梁,Lvliang
吴忠,Wuzhong
周口,Zhoukou
呼伦贝尔,Hulun Buir
呼和浩特,Hohehot
和平,Heping
和田,Hotan
咸宁,Xian'ning
咸阳,Xianyang
哈密,Hami
哈尔滨,Harbin
唐山,Tangshan
商丘,Shangqiu
商洛,Shangluo
喀什,Kashgar
嘉兴,Jiaxing
嘉定,Jiading
嘉峪关,Jiayuguan
四平,Siping
固原,Guyuan
垫江,Dianjiang
城口,Chengkou
大兴,Daxing
大兴安岭,Daxing'anling
大同,Datong
大庆,Daqing
大渡口,Dadukou
大理,Dali
大足,Dazu
大连,Dalian
天水,Tianshui
天门,Tianmen
太原,Taiyuan
奉节,Fengjie
奉贤,Fengxian
威海,Weihai
娄底,Loudi
孝感,Xiaogan
宁德,Ningde
宁河,Ninghe
宁波,Ningbo
安庆,Anqing
安康,Ankang
安阳,Anyang
安顺,Anshun
定安,Dingan
定州,Dingzhou
定西,Dingxi
宜宾,Yibin
宜昌,Yichang
宜春,Yichun
宝坻,Baodi
宝山,Baoshan
宝鸡,Baoji
宣城,Xuancheng
宿州,Suzhou
宿迁,Suqian
密云,Miyun
屯昌,Tunchang
山南,Lhoka
岳阳,Yueyang
崇左,Chongzuo
崇明,Chongming
巫山,Wushan
巫溪,Wuxi
巴中,Bazhong
巴南,Banan
巴州,Bayingol
巴彦淖尔,Bayan Nur
常州,Changzhou
常德,Changde
平凉,Pingliang
平潭,Pingtan
平谷,Pinggu
平顶山,Pingdingshan
广元,Guangyuan
广安,Guang'an
广州,Guangzhou
庆阳,Qingyang
廊坊,Langfang
延安,Yan'an
延庆,Yanqing
延边,Yanbian
开封,Kaifeng
开州,Kaizhou
张家口,Zhangjiakou
张家界,Zhangjiajie
张掖,Zhangye
彭水,Pengshui
徐州,Xuzhou
徐汇,Xuhui
德宏,Dehong
德州,Dezhou
德阳,Deyang
忠县,Zhongxian
忻州,Xinzhou
怀化,Huaihua
怀柔,Huairou
怒江,Nujiang
恩施,Enshi
惠州,Huizhou
成都,Chengdu
房山,Fangshan
扬州,Yangzhou
承德,Chengde
抚州,Fuzhou
抚顺,Fushun
拉萨,Lhasa
揭阳,Jieyang
攀枝花,Panzhihua
文山,Wenshan
文昌,Wenchang
新乡,Xinxiang
新余,Xinyu
无锡,Wuxi
日喀则,Shigatse
日照,Rizhao
昆明,Kunming
昌吉,Changji
昌平,Changping
昌江,Changjiang
昌都,Qamdo
昭通,Zhaotong
晋中,Jinzhong
晋城,Jincheng
普洱,Puer
普陀,Putuo
景德镇,Jingdezhen
曲靖,Qujing
朔州,Shuozhou
朝阳,Chaoyang
本溪,Benxi
来宾,Laibin
杨浦,Yangpu
杭州,Hangzhou
松原,Songyuan
松江,Songjiang
林芝,Nyingchi
果洛,Golog
枣庄,Zaozhuang
柳州,Liuzhou
株洲,Zhuzhou
桂林,Guilin
梁平,Liangping
梅州,Meizhou
梅河口,Meihekou
梧州,Wuzhou
楚雄,Chuxiong
榆林,Yulin
武威,Wuwei
武汉,Wuhan
武清,Wuqing
武隆,Wulong
毕节,Bijie
永川,Yongchuan
永州,Yongzhou
汉中,Hanzhong
汕头,Shantou
汕尾,Shanwei
江北,Jiangbei
江津,Jiangjin
江门,Jiangmen
池州,Chizhou
沈阳,Shenyang
沙坪坝,Shapingba
沧州,Cangzhou
河东,Hedong
河北,Hebei
河池,Hechi
河源,Heyuan
河西,Hexi
泉州,Quanzhou
泰安,Tai'an
泰州,Taizhou
泸州,Luzhou
洋浦,Yangpu
洛阳,Luoyang
津南,Jinnan
济南,Jinan
济宁,Jining
济源,Jiyuan
浦东,Pudong
海东,Haidong
海北,Haibei
海南,Hainan
海口,Haikou
海淀,Haidian
海西,Haixi
涪陵,Fuling
淄博,Zibo
淮北,Huaibei
淮南,Huainan
淮安,Huai'an
深圳,Shenzhen
清远,Qingyuan
渝中,Yuzhong
渝北,Yubei
温州,Wenzhou
渭南,Weinan
湖州,Huzhou
湘潭,Xiangtan
湘西,Xiangxi
湛江,Zhanjiang
滁州,Chuzhou
滨州,Bingzhou
滨海,Binhai
漯河,Luohe
漳州,Zhangzhou
潍坊,Weifang
潜江,Qianjiang
潮州,Chaozhou
潼南,Tongnan
澄迈,Chengmai
濮阳,Puyang
烟台,Yantai
焦作,Jiaozuo
牡丹江,Mudanjiang
玉林,Yulin
玉树,Yushu
玉溪,Yuxi
珠海,Zhuhai
琼中,Qiongzhong
琼海,Qionghai
璧山,Bishan
甘南,Gannan
甘孜,Garze
白城,Baicheng
白山,Baishan
白沙,Baisha
白银,Baiyin
百色,Baise
益阳,Yiyang
盐城,Yancheng
盘锦,Panjin
眉山,Menshan
石嘴山,Shizuishan
石家庄,Shijiazhuang
石景山,Shijingshan
石柱,Shizhu
神农架,Shennongjia
福州,Fuzhou
秀山,Xiushan
秦皇岛,Chinwangtao
綦江,Qijiang 
红桥,Hongqiao
红河,Honghe
绍兴,Shaoxing
绥化,Suihua
绵阳,Mianyang?
聊城,Liaocheng
肇庆,Zhaoqing
自贡,Zigong
舟山,Zhoushan
芜湖,Wuhu
苏州,Suzhou
茂名,Maoming
荆州,Jingzhou
荆门,Jingmen
荣昌,Rongchang
莆田,Putian
莱芜 ,Laiwu
菏泽,Heze
萍乡,Pingxiang
营口,Yingkou
葫芦岛,Huludao
蓟州,Jizhou
虹口,Hongkou
蚌埠,Bangbu
衡水,Hengshui
衡阳,Hengyang
衢州,Quzhou
襄阳,Xiangyang
西双版纳,Sipsongpanna
西城,Xicheng
西宁,Xining
西安,Xi'an
西青,Xiqing
许昌,Xuchang
贵港,Guigang
贵阳,Guiyang
贺州,Hezhou
资阳,Ziyang
赣州,Ganzhou
赤峰,Chifeng
辛集,Xinji
辽源,Liaoyuan
辽阳,Liaoyang
达州,Dazhou
运城,Yuncheng
连云港,Lianyungang
迪庆,Diqing
通化,Tonghua
通州,Tongzhou
通辽,Tongliao
遂宁,Suining
遵义,Zunyi
邢台,Xingtai
那曲,Nagqu
邯郸,Handan
邵阳,Shaoyang
郑州,Zhengzhou
郴州,Chenzhou
鄂尔多斯,Ordos
鄂州,E'zhou
酉阳,Youyang
酒泉,Jiuquan
金华,Jinhua
金山,Jinshan
金昌,Jinchang
钦州,Qinzhou
铁岭,Tieling
铜仁,Tongren
铜川,Tongchuan
铜梁,Tongliang
铜陵,Tongling
银川,Yinchuan
锡林郭勒盟,Xilingo League
锦州,Jinzhou
镇江,Zhenjiang
长宁,Changning
长寿,Changshou
长春,Changchun
长沙,Changsha
长治,Changzhi
长白山,Changbai Mountain
门头沟,Mentougou
闵行,Minhang
阜新,Fuxin
阜阳,Fuyang
防城港,Fangchenggang
阳江,Yangjiang
阳泉,Yangquan
阿克苏,Aksu
阿坝,Ngawa
阿拉善盟,Alxa League
阿里,Ngari
陇南,Longnan
陵水,Lingshui
随州,Suizhou
雅安,Ya'an
青岛,Qingdao
青浦,Qingpu
静安,Jing'an
静海,Jinghai
鞍山,Anshan
韶关,Shaoguan
顺义,Shunyi
马鞍山,Ma'anshan
驻马店,Zhumadian
鸡西,Jixi
鹤壁,Hebi
鹤岗,Hegang
鹰潭,Yingtan
黄冈,Huanggan
黄南,Huangnan
黄山,Huangshan
黄浦,Huangpu
黄石,Huangshi
黑河,Heihe
黔东南,Qiandongnan
黔南,Qiannan
黔江,Qianjiang
黔西南,Qianxinan
齐齐哈尔,Qiqihar
龙岩,Longyan
